Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
A1CF_MOUSE,    0.485551,  0.389860,  0.581241, 6,   8.000000,    0.047845, 20921135104.000000
AAAD_MOUSE,    0.309962,  0.232661,  0.387262, 8,  11.000000,    0.038650, 90409639936.000000
AACS_MOUSE,    0.245130,  0.219014,  0.271246, 3,   3.000000,    0.013058, 4626629120.000000
AADAT_MOUSE,    0.151631,  0.119953,  0.183310, 6,  10.000000,    0.015839, 17575690240.000000
AAKG1_MOUSE,   11.784689, 11.639242, 11.930136, 2,   2.000000,    0.072723, 267264608.000000
AASS_MOUSE,    0.142033,  0.117709,  0.166356, 23,  41.000000,    0.012162, 293728649216.000000
AATC_MOUSE,    0.163598,  0.135030,  0.192167, 19,  28.000000,    0.014284, 146055053312.000000
AATM_MOUSE,    0.103645,  0.088796,  0.118493, 36,  48.000000,    0.007424, 907066802176.000000
ABCA6_MOUSE,    2.098165,  1.834865,  2.361465, 2,   2.000000,    0.131650, 1281491712.000000
ABCB6_MOUSE,    0.054748,  0.000000,  2.971507, 1,   1.000000,    0.020400, 57739556.000000
ABCB7_MOUSE,    0.118614,  0.093676,  0.143552, 3,   7.000000,    0.012469, 6460439040.000000
ABCBA_MOUSE,    0.124543,  0.078083,  0.171003, 2,   2.000000,    0.023230, 7467385856.000000
ABCBB_MOUSE,    0.327031,  0.261128,  0.392935, 8,  14.000000,    0.032952, 28861028352.000000
ABCD3_MOUSE,    0.250260,  0.199813,  0.300706, 13,  17.000000,    0.025223, 88933965824.000000
ABCE1_MOUSE,    0.195505,  0.125650,  0.265360, 4,   4.000000,    0.034928, 5848450048.000000
ABCG2_MOUSE,    0.392804,  0.190070,  0.595538, 3,   3.000000,    0.101367, 2431602688.000000
ABHDB_MOUSE,    0.119959,  0.089142,  0.150775, 4,   6.000000,    0.015408, 8397210112.000000
ABHEB_MOUSE,    0.166482,  0.141723,  0.191241, 10,  11.000000,    0.012379, 131065061376.000000
ABRAL_MOUSE,    0.248351,  0.092118,  0.404583, 2,   2.000000,    0.078116, 904645760.000000
ACACA_MOUSE,    0.280568,  0.167953,  0.393183, 12,  27.000000,    0.056308, 25337550848.000000
ACACB_MOUSE,    0.528659,  0.467673,  0.589645, 7,   7.000000,    0.030493, 2540050688.000000
ACAD8_MOUSE,    0.086187,  0.072051,  0.100323, 4,  13.000000,    0.007068, 20751691776.000000
ACAD9_MOUSE,    0.437751,  0.076665,  0.798836, 8,   8.000000,    0.180543, 9796594688.000000
ACADL_MOUSE,    0.110074,  0.098636,  0.121512, 17,  24.000000,    0.005719, 174440153088.000000
ACADM_MOUSE,    0.186908,  0.160451,  0.213366, 15,  19.000000,    0.013229, 241418600448.000000
ACADS_MOUSE,    0.120879,  0.105611,  0.136148, 21,  29.000000,    0.007634, 186997702656.000000
ACADV_MOUSE,    0.279453,  0.228531,  0.330376, 20,  35.000000,    0.025461, 90439344128.000000
ACBD5_MOUSE,    0.440151,  0.338108,  0.542194, 5,   9.000000,    0.051022, 15667075072.000000
ACBP_MOUSE,    0.171989,  0.149824,  0.194154, 6,   7.000000,    0.011083, 483286155264.000000
ACD10_MOUSE,    0.146207,  0.121329,  0.171085, 4,  16.000000,    0.012439, 21178279936.000000
ACD11_MOUSE,    0.564781,  0.425104,  0.704458, 9,  16.000000,    0.069839, 34832519168.000000
ACDSB_MOUSE,    0.270255,  0.231526,  0.308985, 6,  10.000000,    0.019365, 19890010112.000000
ACLY_MOUSE,    0.252855,  0.203421,  0.302290, 29,  45.000000,    0.024717, 211510099968.000000
ACO12_MOUSE,    0.350054,  0.286793,  0.413315, 4,   9.000000,    0.031631, 10654755840.000000
ACO13_MOUSE,    0.105989,  0.086695,  0.125283, 4,   6.000000,    0.009647, 32125100032.000000
ACOC_MOUSE,    0.173882,  0.138675,  0.209089, 33,  45.000000,    0.017604, 170018717696.000000
ACON_MOUSE,    0.108304,  0.093124,  0.123484, 26,  36.000000,    0.007590, 195963469824.000000
ACOT1_MOUSE,    0.192355,  0.154812,  0.229898, 6,  12.000000,    0.018772, 33549287424.000000
ACOT2_MOUSE,    0.112917,  0.088953,  0.136881, 3,   3.000000,    0.011982, 1422703744.000000
ACOT3_MOUSE,    0.002545,  0.000000,  4.552271, 1,   1.000000,    0.005703, 2271394816.000000
ACOT4_MOUSE,    0.271606,  0.219583,  0.323629, 5,   5.000000,    0.026012, 4395363840.000000
ACOX1_MOUSE,    0.771076,  0.589754,  0.952398, 40,  46.000000,    0.090661, 379065434112.000000
ACOX2_MOUSE,    0.300745,  0.239567,  0.361923, 10,  15.000000,    0.030589, 35572121600.000000
ACPM_MOUSE,    0.131173,  0.117582,  0.144764, 1,   4.000000,    0.006175, 25201584128.000000
ACSA_MOUSE,    0.345862,  0.236153,  0.455571, 5,   9.000000,    0.054854, 19096471552.000000
ACSF2_MOUSE,    0.146015,  0.123784,  0.168246, 23,  27.000000,    0.011115, 207127134208.000000
ACSF3_MOUSE,    0.184236,  0.064295,  0.304177, 1,   1.000000,    0.050723, 363058272.000000
ACSL1_MOUSE,    0.246580,  0.200616,  0.292545, 36,  44.000000,    0.022982, 345257967616.000000
ACSL5_MOUSE,    0.268046,  0.204870,  0.331222, 14,  22.000000,    0.031588, 86574071808.000000
ACSM1_MOUSE,    0.133515,  0.111741,  0.155290, 22,  25.000000,    0.010887, 204368969728.000000
ACSM3_MOUSE,    0.121178,  0.094587,  0.147769, 4,   6.000000,    0.013295, 6973868032.000000
ACSM5_MOUSE,    0.121832,  0.099906,  0.143759, 4,  14.000000,    0.010963, 28202209280.000000
ACSS3_MOUSE,    0.137675,  0.091979,  0.183371, 3,   3.000000,    0.022848, 4183472384.000000
ACTBL_MOUSE,    0.158058,  0.121842,  0.194274, 7,  16.000000,    0.018108, 252322480128.000000
ACTB_MOUSE,    0.155268,  0.131986,  0.178549, 34,  41.000000,    0.011641, 1400592269312.000000
ACTC_MOUSE,    0.145380,  0.118127,  0.172634, 2,   2.000000,    0.013627, 5228801024.000000
ACTN1_MOUSE,    0.167443,  0.134244,  0.200643, 17,  35.000000,    0.016600, 101895348224.000000
ACTN4_MOUSE,    0.197859,  0.164607,  0.231110, 16,  24.000000,    0.016626, 51468644352.000000
ACTS_MOUSE,    0.184284,  0.095168,  0.273400, 2,   2.000000,    0.044558, 9373424640.000000
ACTZ_MOUSE,    0.332828,  0.159528,  0.506129, 3,   3.000000,    0.086650, 1365354880.000000
ACY1_MOUSE,    0.221315,  0.167552,  0.275078, 4,   6.000000,    0.026881, 4283101952.000000
ACY3_MOUSE,    0.132148,  0.098072,  0.166223, 4,  10.000000,    0.017038, 30701422592.000000
ADH1_MOUSE,    0.150460,  0.127548,  0.173371, 44,  56.000000,    0.011456, 1770093412352.000000
ADH4_MOUSE,    0.429025,  0.375448,  0.482602, 4,   7.000000,    0.026788, 12454702080.000000
ADHX_MOUSE,    0.166295,  0.144899,  0.187691, 17,  22.000000,    0.010698, 243744456704.000000
ADK_MOUSE,    0.230532,  0.196585,  0.264479, 20,  26.000000,    0.016974, 287655100416.000000
ADPGK_MOUSE,    0.169211,  0.000000,  2.423083, 1,   1.000000,    0.118554, 162237920.000000
ADRM1_MOUSE,    0.344572,  0.000000,  2.487338, 1,   1.000000,    0.124159, 44371844.000000
ADRO_MOUSE,    0.672072,  0.279287,  1.064857, 4,   4.000000,    0.196392, 2886365696.000000
ADT1_MOUSE,    0.123828,  0.107562,  0.140094, 10,  16.000000,    0.008133, 187786510336.000000
ADT2_MOUSE,    0.103229,  0.083848,  0.122610, 9,  20.000000,    0.009691, 180549173248.000000
ADX_MOUSE,    0.160243,  0.134859,  0.185627, 3,   4.000000,    0.012692, 8742175744.000000
AEDO_MOUSE,    0.003642,  0.000000, 10.942759, 1,   1.000000,    0.012678, 5106877.000000
AFAD_MOUSE,    0.623992,  0.234102,  1.013882, 2,   2.000000,    0.194945, 466464736.000000
AFG1L_MOUSE,    0.000241,  0.000000,  6.861401, 1,   1.000000,    0.116035, 45121880.000000
AFG32_MOUSE,    0.502740,  0.409176,  0.596304, 2,   7.000000,    0.046782, 13836560384.000000
AGFG2_MOUSE,    0.103603,  0.000000,  1.434943, 1,   1.000000,    0.053335, 142892080.000000
AGM1_MOUSE,    0.160142,  0.124857,  0.195427, 2,   6.000000,    0.017643, 12873319424.000000
AGT2_MOUSE,    0.107674,  0.088002,  0.127346, 19,  28.000000,    0.009836, 79721103360.000000
AIFM1_MOUSE,    0.124333,  0.106564,  0.142101, 13,  23.000000,    0.008884, 73031122944.000000
AIMP1_MOUSE,    0.281705,  0.190372,  0.373038, 3,   3.000000,    0.045666, 3447552256.000000
AIMP2_MOUSE,    0.094368,  0.044366,  0.144371, 3,   3.000000,    0.025001, 228926896.000000
AK1A1_MOUSE,    0.163096,  0.141301,  0.184890, 14,  18.000000,    0.010897, 127512084480.000000
AK1CD_MOUSE,    0.158884,  0.132480,  0.185289, 19,  23.000000,    0.013202, 113389928448.000000
AK1D1_MOUSE,    0.165270,  0.133059,  0.197481, 12,  18.000000,    0.016106, 58026745856.000000
AKC1H_MOUSE,    0.157601,  0.121950,  0.193252, 5,   5.000000,    0.017825, 132062371840.000000
AKCL2_MOUSE,    0.163764,  0.089093,  0.238435, 3,   3.000000,    0.037336, 37746245632.000000
AL1A1_MOUSE,    0.209074,  0.175270,  0.242877, 44,  55.000000,    0.016902, 1251780722688.000000
AL1A7_MOUSE,    0.194687,  0.158938,  0.230437, 14,  19.000000,    0.017875, 123296210944.000000
AL1B1_MOUSE,    0.092196,  0.075645,  0.108748, 10,  18.000000,    0.008276, 68710690816.000000
AL1L1_MOUSE,    0.225774,  0.190557,  0.260990, 66,  79.000000,    0.017608, 1046326214656.000000
AL3A2_MOUSE,    0.195327,  0.166189,  0.224465, 27,  31.000000,    0.014569, 162954461184.000000
AL4A1_MOUSE,    0.129109,  0.111250,  0.146968, 23,  35.000000,    0.008929, 263149977600.000000
AL7A1_MOUSE,    0.135009,  0.113286,  0.156731, 23,  39.000000,    0.010861, 376522702848.000000
AL8A1_MOUSE,    0.202267,  0.165067,  0.239467, 25,  33.000000,    0.018600, 147814776832.000000
AL9A1_MOUSE,    0.152561,  0.128636,  0.176485, 21,  29.000000,    0.011962, 139222024192.000000
ALAT1_MOUSE,    0.341833,  0.281666,  0.402001, 12,  15.000000,    0.030084, 76256739328.000000
ALAT2_MOUSE,    0.805120,  0.685127,  0.925113, 2,   6.000000,    0.059996, 8863727616.000000
ALBU_MOUSE,    0.231435,  0.170944,  0.291925, 41,  53.000000,    0.030245, 1449997107200.000000
ALDH2_MOUSE,    0.323563,  0.267638,  0.379488, 40,  51.000000,    0.027963, 1561189679104.000000
ALDOA_MOUSE,    0.304774,  0.241181,  0.368368, 4,   9.000000,    0.031797, 190352261120.000000
ALDOB_MOUSE,    0.325057,  0.274896,  0.375218, 29,  39.000000,    0.025080, 1793344536576.000000
ALDR_MOUSE,    0.067762,  0.047591,  0.087933, 1,   4.000000,    0.009053, 1391585536.000000
ALKMO_MOUSE,    1.093650,  0.848280,  1.339020, 2,   2.000000,    0.122685, 1990470272.000000
AMACR_MOUSE,    0.239940,  0.201255,  0.278625, 4,  11.000000,    0.019342, 25483757568.000000
AMBP_MOUSE,    1.172721,  0.696665,  1.648776, 2,   2.000000,    0.238028, 272589600.000000
AMPB_MOUSE,    1.447150,  1.160941,  1.733358, 4,   4.000000,    0.143104, 3087026944.000000
AMPE_MOUSE,    1.461629,  1.033864,  1.889394, 4,   7.000000,    0.213882, 3561295616.000000
AMPL_MOUSE,    0.204338,  0.167580,  0.241097, 26,  33.000000,    0.018379, 249435619328.000000
AMPN_MOUSE,    0.707553,  0.507091,  0.908014, 4,  12.000000,    0.100231, 15527384064.000000
AN32A_MOUSE,    0.178021,  0.154589,  0.201453, 3,   4.000000,    0.011716, 14917541888.000000
AN32B_MOUSE,    0.180868,  0.099551,  0.262185, 2,   2.000000,    0.040658, 2069524096.000000
AN32E_MOUSE,    0.524203,  0.342716,  0.705689, 1,   1.000000,    0.076751, 164220432.000000
ANM5_MOUSE,    0.648505,  0.493796,  0.803214, 2,   2.000000,    0.077354, 132916784.000000
ANR28_MOUSE,    1.923005,  0.528335,  3.317674, 1,   1.000000,    1.441250, 42074640.000000
ANT3_MOUSE,    1.597729,  0.795599,  2.399858, 4,   4.000000,    0.401065, 1836025472.000000
ANX11_MOUSE,    0.117533,  0.007627,  0.227439, 1,   1.000000,    0.047661, 1485844736.000000
ANXA1_MOUSE,    0.039663,  0.000000,  4.544262, 1,   1.000000,    0.055736, 195753440.000000
ANXA2_MOUSE,    0.065093,  0.052048,  0.078137, 4,   9.000000,    0.006522, 7819172352.000000
ANXA3_MOUSE,    0.000363,  0.000000,  6.001630, 1,   1.000000,    0.014698, 8665118720.000000
ANXA4_MOUSE,    0.207885,  0.165136,  0.250635, 7,  13.000000,    0.021375, 36855136256.000000
ANXA5_MOUSE,    0.143832,  0.118272,  0.169391, 10,  14.000000,    0.012780, 157277503488.000000
ANXA6_MOUSE,    0.212547,  0.183033,  0.242061, 19,  24.000000,    0.014757, 77555720192.000000
ANXA7_MOUSE,    0.345671,  0.267063,  0.424279, 6,  10.000000,    0.039304, 16181125120.000000
AOFA_MOUSE,    0.173045,  0.137373,  0.208716, 4,   6.000000,    0.017836, 2821211136.000000
AOFB_MOUSE,    0.158309,  0.127474,  0.189144, 12,  17.000000,    0.015417, 65877180416.000000
AOXA_MOUSE,    0.404489,  0.274156,  0.534822, 4,   7.000000,    0.065166, 10953247744.000000
AOXC_MOUSE,    0.321766,  0.252793,  0.390739, 40,  52.000000,    0.034486, 176582033408.000000
AP1B1_MOUSE,    0.142495,  0.120550,  0.164440, 11,  18.000000,    0.010973, 66525294592.000000
AP1M1_MOUSE,    0.340667,  0.002022,  0.679313, 1,   1.000000,    0.121971, 268577984.000000
AP2A1_MOUSE,    0.179611,  0.139149,  0.220073, 4,   7.000000,    0.020231, 9465538560.000000
AP2A2_MOUSE,    0.159644,  0.118047,  0.201240, 7,  16.000000,    0.020798, 17414221824.000000
AP2B1_MOUSE,    0.179969,  0.107724,  0.252214, 4,   9.000000,    0.036122, 8943722496.000000
AP2M1_MOUSE,    0.189582,  0.116073,  0.263090, 2,   2.000000,    0.036754, 2494706176.000000
AP2S1_MOUSE,    1.302891,  1.201435,  1.404346, 2,   2.000000,    0.050728, 1504891648.000000
AP4A_MOUSE,    0.504074,  0.446621,  0.561526, 2,   2.000000,    0.028726, 826589440.000000
APEH_MOUSE,    0.265467,  0.143962,  0.386972, 4,  11.000000,    0.060752, 11011001344.000000
APEX1_MOUSE,    0.327214,  0.215866,  0.438562, 3,   3.000000,    0.055674, 2162675712.000000
API5_MOUSE,    0.266010,  0.153477,  0.378542, 1,   1.000000,    0.043777, 92041480.000000
APMAP_MOUSE,    0.317007,  0.089351,  0.544663, 1,   4.000000,    0.098723, 2091797120.000000
APOA1_MOUSE,    0.687951,  0.286205,  1.089697, 4,  10.000000,    0.200873, 62740860928.000000
APOA2_MOUSE,    1.129058,  1.129058,  1.129058, 3,   3.000000,    0.000000, 712252416.000000
APOA4_MOUSE,    0.167730,  0.117950,  0.217510, 1,   1.000000,    0.017929, 2788500480.000000
APOA5_MOUSE,   19.290552, 15.990436, 22.590670, 1,   1.000000,  143050064.000000, 307071328.000000
APOB_MOUSE,    2.995529,  2.950586,  3.040473, 4,  19.000000,    0.022472, 143024898048.000000
APOE_MOUSE,    5.879486,  1.191004, 10.567968, 4,   5.000000,    2.344241, 9743261696.000000
APOH_MOUSE,    1.322371,  0.419771,  2.224971, 3,   3.000000,    0.451300, 879482816.000000
APT_MOUSE,    0.134641,  0.080533,  0.188748, 3,   3.000000,    0.027054, 1347554432.000000
AQP1_MOUSE,    0.204820,  0.145557,  0.264083, 2,   2.000000,    0.029632, 744019200.000000
ARC1A_MOUSE,    0.146318,  0.118252,  0.174384, 2,   4.000000,    0.014033, 3340513024.000000
ARC1B_MOUSE,    0.128101,  0.074789,  0.181413, 2,   2.000000,    0.026656, 2482261504.000000
ARCH_MOUSE,    0.390410,  0.333693,  0.447127, 2,   2.000000,    0.028359, 583230336.000000
ARF1_MOUSE,    0.326101,  0.265800,  0.386402, 8,  12.000000,    0.030151, 38486052864.000000
ARF4_MOUSE,    0.506337,  0.405280,  0.607394, 4,   4.000000,    0.050529, 4957243904.000000
ARF6_MOUSE,    0.070222,  0.053708,  0.086736, 6,   9.000000,    0.008257, 8121703424.000000
ARFG2_MOUSE,    0.927956,  0.139794,  1.716118, 2,   2.000000,    0.394081, 1075538048.000000
ARGI1_MOUSE,    0.163783,  0.141417,  0.186149, 32,  40.000000,    0.011183, 1199406841856.000000
ARK72_MOUSE,    0.156654,  0.129869,  0.183440, 13,  18.000000,    0.013393, 70046507008.000000
ARL1_MOUSE,    0.780546,  0.335657,  1.225435, 2,   2.000000,    0.222445, 791646144.000000
ARLY_MOUSE,    0.183558,  0.154392,  0.212725, 27,  34.000000,    0.014583, 352033013760.000000
ARP2_MOUSE,    0.166019,  0.140887,  0.191150, 5,   9.000000,    0.012566, 16501923840.000000
ARP3_MOUSE,    0.084297,  0.063753,  0.104840, 7,  14.000000,    0.010272, 29967005696.000000
ARP5L_MOUSE,    0.146250,  0.091490,  0.201010, 1,   1.000000,    0.019723, 848441664.000000
ARPC2_MOUSE,    0.113094,  0.082759,  0.143430, 4,   5.000000,    0.015168, 6322324480.000000
ARPC3_MOUSE,    0.208632,  0.158327,  0.258937, 4,   7.000000,    0.025153, 5588928000.000000
ARPC4_MOUSE,    0.069231,  0.048524,  0.089939, 4,   5.000000,    0.010354, 7105616896.000000
ARPC5_MOUSE,    0.163609,  0.072712,  0.254507, 3,   3.000000,    0.045449, 4577036800.000000
ARSB_MOUSE,    0.921392,  0.219842,  1.622942, 2,   2.000000,    0.350775, 876600640.000000
ARY2_MOUSE,    0.145478,  0.101886,  0.189069, 3,   3.000000,    0.021796, 819946432.000000
AS3MT_MOUSE,    0.348187,  0.183572,  0.512803, 3,   6.000000,    0.082308, 3922294272.000000
ASAH1_MOUSE,    0.269969,  0.231948,  0.307991, 4,   5.000000,    0.019011, 8293030912.000000
ASGL1_MOUSE,    0.516631,  0.306982,  0.726279, 2,   2.000000,    0.104824, 202256112.000000
ASGR1_MOUSE,    0.671654,  0.478856,  0.864451, 4,   7.000000,    0.096399, 18180753408.000000
ASPD_MOUSE,    0.164797,  0.135335,  0.194259, 6,   9.000000,    0.014731, 23347916800.000000
ASPG_MOUSE,    0.012497,  0.000000,  5.311600, 1,   1.000000,    0.037673, 7343064064.000000
ASPH_MOUSE,    0.089812,  0.053668,  0.125955, 2,   2.000000,    0.018072, 641136448.000000
ASSY_MOUSE,    0.182545,  0.154299,  0.210792, 55,  70.000000,    0.014123, 3065921929216.000000
AT11C_MOUSE,    0.143487,  0.102536,  0.184437, 7,  15.000000,    0.020475, 22068496384.000000
AT131_MOUSE,    0.105328,  0.000000,  2.316133, 1,   1.000000,    0.039018, 1263987712.000000
AT1A1_MOUSE,    0.164628,  0.137503,  0.191753, 21,  30.000000,    0.013562, 61838430208.000000
AT1B1_MOUSE,    0.200078,  0.167145,  0.233011, 4,   4.000000,    0.016466, 10598363136.000000
AT1B3_MOUSE,    0.798449,  0.702333,  0.894565, 3,   3.000000,    0.048058, 2226540800.000000
AT2A2_MOUSE,    0.211876,  0.143400,  0.280353, 7,  16.000000,    0.034238, 26682146816.000000
AT2L1_MOUSE,    0.835491,  0.539659,  1.131323, 2,   7.000000,    0.147916, 5131834880.000000
AT5F1_MOUSE,    0.084514,  0.076240,  0.092789, 8,  12.000000,    0.004137, 122299351040.000000
ATAD3_MOUSE,    0.132056,  0.102750,  0.161362, 3,  10.000000,    0.014653, 17701660672.000000
ATG3_MOUSE,    0.370763,  0.083432,  0.658093, 1,   1.000000,    0.090286, 641002880.000000
ATG7_MOUSE,    0.373505,  0.200261,  0.546749, 2,   2.000000,    0.086622, 1105114752.000000
ATLA2_MOUSE,   11.300583, 11.132016, 11.469150, 3,   3.000000,    0.084283, 4040620800.000000
ATLA3_MOUSE,    0.310741,  0.251662,  0.369821, 6,  10.000000,    0.029540, 6081794560.000000
ATOX1_MOUSE,    0.187719,  0.139022,  0.236416, 3,   3.000000,    0.024348, 9342039040.000000
ATP5E_MOUSE,    0.081113,  0.072449,  0.089777, 1,   1.000000,    0.003888, 14981177344.000000
ATP5H_MOUSE,    0.101754,  0.090346,  0.113162, 11,  17.000000,    0.005704, 169193046016.000000
ATP5I_MOUSE,    0.152105,  0.141921,  0.162288, 2,   2.000000,    0.005092, 38119915520.000000
ATP5J_MOUSE,    0.101073,  0.090530,  0.111616, 4,   9.000000,    0.005271, 37115895808.000000
ATP5L_MOUSE,    0.102282,  0.091242,  0.113322, 4,   6.000000,    0.005520, 33241847808.000000
ATP6_MOUSE,    0.129436,  0.092019,  0.166853, 4,   5.000000,    0.018709, 3607708160.000000
ATP8_MOUSE,    0.146090,  0.064825,  0.227356, 1,   1.000000,    0.033211, 1026914368.000000
ATPA_MOUSE,    0.112649,  0.099630,  0.125669, 43,  55.000000,    0.006510, 1380998447104.000000
ATPB_MOUSE,    0.104417,  0.092614,  0.116221, 51,  64.000000,    0.005902, 1988897931264.000000
ATPD_MOUSE,    0.100916,  0.092856,  0.108976, 6,  10.000000,    0.004030, 75799404544.000000
ATPG_MOUSE,    0.097828,  0.085236,  0.110420, 9,  13.000000,    0.006296, 137715990528.000000
ATPK_MOUSE,    0.101416,  0.091866,  0.110967, 3,   3.000000,    0.004775, 46214938624.000000
ATPMK_MOUSE,    0.236485,  0.181881,  0.291090, 3,   3.000000,    0.027302, 45754937344.000000
ATPO_MOUSE,    0.095970,  0.085526,  0.106415, 6,  14.000000,    0.005222, 165830131712.000000
ATX10_MOUSE,    1.721125,  0.550373,  2.891876, 1,   1.000000,    2.091188, 111700064.000000
ATX2_MOUSE,    0.683977,  0.646119,  0.721836, 2,   2.000000,    0.018929, 336681792.000000
AUHM_MOUSE,    0.194538,  0.105830,  0.283246, 2,   5.000000,    0.044354, 2218321152.000000
B2L13_MOUSE,    0.115920,  0.046674,  0.185166, 3,   3.000000,    0.034623, 2993183488.000000
B2MG_MOUSE,    1.553397,  0.477283,  2.629511, 3,   3.000000,    0.538057, 3366044928.000000
B3AT_MOUSE,    0.001614,  0.000000,  0.028199, 3,   3.000000,    0.013293, 2183194624.000000
BAAT_MOUSE,    0.360988,  0.282094,  0.439881, 7,  10.000000,    0.039447, 36242755584.000000
BABA2_MOUSE,    0.046104,  0.000000,  1.458082, 1,   1.000000,    0.021887, 270085568.000000
BAG3_MOUSE,   10.940079, 10.818908, 11.061250, 2,   2.000000,    0.060585, 7216417792.000000
BAP31_MOUSE,    0.252648,  0.203230,  0.302066, 4,  10.000000,    0.024709, 8623800320.000000
BASI_MOUSE,    0.228260,  0.176665,  0.279856, 4,   7.000000,    0.025798, 19741462528.000000
BDH_MOUSE,    0.122670,  0.108385,  0.136955, 12,  17.000000,    0.007142, 171748507648.000000
BET1_MOUSE,    0.375878,  0.000000,  2.804704, 1,   1.000000,    0.247390, 256171424.000000
BGAL_MOUSE,   19.425333, 19.149483, 19.701183, 2,   2.000000,    0.137925, 1479682432.000000
BGLR_MOUSE,    0.092452,  0.072557,  0.112348, 4,   9.000000,    0.009948, 9398837248.000000
BHMT1_MOUSE,    0.187498,  0.154844,  0.220153, 42,  48.000000,    0.016327, 1415230390272.000000
BIP_MOUSE,    0.273331,  0.229054,  0.317608, 23,  36.000000,    0.022139, 520360624128.000000
BLMH_MOUSE,    0.318637,  0.015101,  0.622173, 2,   8.000000,    0.151768, 4027147776.000000
BLVRB_MOUSE,    0.170013,  0.145297,  0.194729, 10,  16.000000,    0.012358, 128434757632.000000
BODG_MOUSE,    0.483327,  0.414351,  0.552302, 6,  11.000000,    0.034488, 17131359232.000000
BOLA1_MOUSE,   19.268002, 18.203314, 20.332689, 2,   2.000000,    0.532344, 763665664.000000
BPHL_MOUSE,    0.154885,  0.133763,  0.176008, 10,  16.000000,    0.010561, 114299043840.000000
BPNT1_MOUSE,    0.187064,  0.150385,  0.223743, 8,  13.000000,    0.018340, 23496046592.000000
BT3L4_MOUSE,    0.091923,  0.036390,  0.147457, 3,   3.000000,    0.027767, 2239739136.000000
BTD_MOUSE,    0.461489,  0.353129,  0.569848, 2,   2.000000,    0.054180, 2028539392.000000
BTF3_MOUSE,    0.653669,  0.406893,  0.900445, 2,   2.000000,    0.123388, 1413130112.000000
BUB3_MOUSE,    1.061177,  0.784851,  1.337504, 2,   2.000000,    0.138163, 489938112.000000
BUP1_MOUSE,    0.631226,  0.384564,  0.877887, 4,   9.000000,    0.123331, 7946125312.000000
C19L1_MOUSE,    0.749284,  0.000000,  9.289846, 1,   1.000000,    0.838481, 27358446.000000
C1QBP_MOUSE,    0.107350,  0.092847,  0.121854, 4,   6.000000,    0.007252, 14719082496.000000
C1TC_MOUSE,    0.208843,  0.171098,  0.246588, 26,  42.000000,    0.018872, 149107195904.000000
C2CD2_MOUSE,    0.636855,  0.492572,  0.781138, 1,   1.000000,    0.064755, 434378368.000000
C560_MOUSE,    0.118479,  0.087299,  0.149659, 4,   7.000000,    0.015590, 24554196992.000000
CAB39_MOUSE,    0.515327,  0.045389,  0.985265, 1,   1.000000,    0.169259, 329392640.000000
CACP_MOUSE,    0.158536,  0.116621,  0.200451, 4,   6.000000,    0.020958, 17795457024.000000
