Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
CPT1A_MOUSE,    0.209491,  0.139230,  0.279752, 7,  10.000000,    0.035131, 624359424.000000
CSAD_MOUSE,    0.097714,  0.075911,  0.119516, 4,   7.000000,    0.010901, 359012384.000000
CY250_MOUSE,    0.302265,  0.103457,  0.501072, 1,   1.000000,    0.133369, 16937084.000000
CYFP1_MOUSE,    0.107118,  0.066580,  0.147655, 4,   6.000000,    0.020269, 127797704.000000
DCTN1_MOUSE,    0.173499,  0.123757,  0.223241, 9,  16.000000,    0.024871, 559436672.000000
DDB1_MOUSE,    0.295852,  0.239203,  0.352501, 2,   2.000000,    0.028324, 19200920.000000
DDX46_MOUSE,    0.420380,  0.286464,  0.554295, 2,   2.000000,    0.066958, 37102952.000000
DHB4_MOUSE,    0.158552,  0.081788,  0.235316, 4,   5.000000,    0.038382, 108031944.000000
DHE3_MOUSE,    0.043992,  0.031606,  0.056378, 4,   6.000000,    0.006193, 255106672.000000
DHX29_MOUSE,    0.240093,  0.184111,  0.296074, 10,  13.000000,    0.027991, 326960128.000000
DHX9_MOUSE,    0.177374,  0.107393,  0.247355, 4,   8.000000,    0.034991, 228636960.000000
DIAP1_MOUSE,    0.376909,  0.266047,  0.487771, 8,  12.000000,    0.055431, 615722240.000000
DLDH_MOUSE,    0.093724,  0.062870,  0.124577, 1,   1.000000,    0.012003, 13508925.000000
DPP4_MOUSE,    0.151561,  0.024915,  0.278207, 1,   1.000000,    0.045614, 25546016.000000
DPYD_MOUSE,    0.203385,  0.069257,  0.337512, 4,   4.000000,    0.067064, 64063540.000000
DSG2_MOUSE,    0.522888,  0.410621,  0.635156, 2,   2.000000,    0.056134, 27450890.000000
E41L2_MOUSE,    0.159992,  0.127358,  0.192627, 6,   9.000000,    0.016317, 451079584.000000
ECHA_MOUSE,    0.075617,  0.062581,  0.088654, 7,  10.000000,    0.006518, 359614048.000000
ECHP_MOUSE,    0.165021,  0.095648,  0.234394, 11,  14.000000,    0.034687, 675631168.000000
EDC4_MOUSE,    0.132836,  0.020468,  0.245204, 3,   3.000000,    0.056184, 21956372.000000
EF1A1_MOUSE,    0.086930,  0.066288,  0.107571, 13,  15.000000,    0.010321, 3638882816.000000
EF2_MOUSE,    0.102345,  0.078770,  0.125920, 6,  11.000000,    0.011788, 407580640.000000
EFL1_MOUSE,    0.152222,  0.093041,  0.211404, 5,   9.000000,    0.029591, 248664464.000000
EGFR_MOUSE,    0.489483,  0.295328,  0.683639, 33,  44.000000,    0.097078, 11945069568.000000
EIF3A_MOUSE,    0.173941,  0.125476,  0.222406, 41,  60.000000,    0.024232, 16212747264.000000
EIF3C_MOUSE,    0.084362,  0.044511,  0.124212, 3,   3.000000,    0.019925, 33435382.000000
ELP1_MOUSE,    0.101737,  0.065556,  0.137918, 6,  10.000000,    0.018090, 450734400.000000
EMC1_MOUSE,    0.086400,  0.065265,  0.107535, 1,   1.000000,    0.007612, 5158021.000000
ENOA_MOUSE,    0.122878,  0.089449,  0.156307, 4,   4.000000,    0.016714, 247736048.000000
ENOB_MOUSE,    0.079952,  0.000000,  0.700048, 1,   1.000000,    0.091980, 140451472.000000
ENPL_MOUSE,    0.137141,  0.080973,  0.193310, 5,   9.000000,    0.028084, 575912576.000000
EPS15_MOUSE,    0.247039,  0.176011,  0.318066, 9,  10.000000,    0.035514, 229265296.000000
EST1D_MOUSE,    0.103502,  0.075394,  0.131610, 9,  19.000000,    0.014054, 3417854720.000000
EST1F_MOUSE,    0.149531,  0.067873,  0.231188, 4,   6.000000,    0.040829, 390154432.000000
EST1_MOUSE,    0.038333,  0.000000,  0.830216, 1,   1.000000,    0.020963, 25817130.000000
EST2A_MOUSE,    0.165482,  0.095899,  0.235064, 5,   8.000000,    0.034791, 441012800.000000
EST3A_MOUSE,    0.162043,  0.108207,  0.215878, 6,   7.000000,    0.026918, 927963520.000000
EST3B_MOUSE,    0.098460,  0.049424,  0.147496, 1,   1.000000,    0.019076, 40649728.000000
ETFA_MOUSE,    0.140591,  0.012721,  0.268461, 1,   1.000000,    0.040180, 6524634.000000
ETFD_MOUSE,    0.077107,  0.001026,  0.153187, 1,   1.000000,    0.023906, 4750814.500000
EZRI_MOUSE,    0.073738,  0.046816,  0.100659, 2,   2.000000,    0.013461, 27594154.000000
F120A_MOUSE,    0.053302,  0.019620,  0.086984, 1,   1.000000,    0.010584, 9916475.000000
F16P1_MOUSE,    0.176438,  0.088679,  0.264197, 3,   3.000000,    0.043880, 71594336.000000
FAS_MOUSE,    0.293569,  0.210540,  0.376598, 4,   4.000000,    0.041515, 86726384.000000
FBX10_MOUSE,    0.070517,  0.000000,  1.779648, 1,   1.000000,    0.055499, 56620084.000000
FKB15_MOUSE,    0.263090,  0.020386,  0.505794, 2,   2.000000,    0.121352, 24330358.000000
FLII_MOUSE,    0.197175,  0.123403,  0.270946, 7,  11.000000,    0.036886, 336120352.000000
FMO5_MOUSE,    0.098622,  0.048682,  0.148561, 4,   8.000000,    0.024970, 604594304.000000
FRIL1_MOUSE,    0.060978,  0.000000,  0.523001, 1,   1.000000,    0.019325, 18278682.000000
G3P_MOUSE,    0.094492,  0.069289,  0.119696, 4,   6.000000,    0.012602, 666472832.000000
GAK_MOUSE,    0.372821,  0.275350,  0.470293, 2,   5.000000,    0.048736, 135851248.000000
GANAB_MOUSE,    0.084670,  0.048080,  0.121259, 3,   4.000000,    0.018295, 81821200.000000
GCSP_MOUSE,    0.074517,  0.000000,  0.486209, 1,   1.000000,    0.030740, 4055502.000000
GLNA_MOUSE,    0.263556,  0.000000,  1.940256, 1,   1.000000,    0.247886, 58395628.000000
GLSL_MOUSE,    0.256013,  0.018261,  0.493766, 1,   1.000000,    0.085632, 7652817.000000
GNMT_MOUSE,    0.025515,  0.000000,  0.658501, 1,   1.000000,    0.015308, 17267004.000000
GOGA2_MOUSE,    0.453655,  0.337821,  0.569489, 3,   3.000000,    0.057917, 127061896.000000
GRP75_MOUSE,    0.157840,  0.089490,  0.226189, 4,   5.000000,    0.034175, 241165520.000000
GSLG1_MOUSE,    0.491704,  0.307770,  0.675639, 8,  12.000000,    0.091967, 642859776.000000
GSTA3_MOUSE,    0.064610,  0.000000,  0.499920, 1,   1.000000,    0.029536, 28208632.000000
GSTM1_MOUSE,    0.056264,  0.006069,  0.106460, 1,   1.000000,    0.018079, 14056098.000000
GSTP1_MOUSE,    0.083868,  0.048846,  0.118891, 3,   3.000000,    0.017511, 167849376.000000
GTR2_MOUSE,    0.535236,  0.318510,  0.751962, 2,   2.000000,    0.108363, 448082176.000000
HACD3_MOUSE,    0.382260,  0.326826,  0.437694, 3,   3.000000,    0.027717, 66220180.000000
HBA_MOUSE,    0.007734,  0.000887,  0.014580, 3,   4.000000,    0.003423, 207280496.000000
HBB1_MOUSE,    0.006348,  0.000722,  0.011974, 4,   7.000000,    0.002813, 425522944.000000
HELB_MOUSE,    0.041070,  0.000000,  0.311013, 1,   1.000000,    0.015013, 4351082.000000
HMCS2_MOUSE,    0.160210,  0.106069,  0.214350, 12,  15.000000,    0.027070, 1954478592.000000
HS90A_MOUSE,    0.135599,  0.110822,  0.160376, 6,   9.000000,    0.012388, 2959502848.000000
HS90B_MOUSE,    0.109151,  0.066305,  0.151998, 5,   9.000000,    0.021423, 927905920.000000
HSP7C_MOUSE,    0.081629,  0.042049,  0.121209, 5,   6.000000,    0.019790, 194146704.000000
HUTU_MOUSE,    0.101292,  0.081893,  0.120692, 2,   2.000000,    0.009700, 72374504.000000
HYOU1_MOUSE,    0.173572,  0.146391,  0.200753, 65,  72.000000,    0.013590, 42681860096.000000
IDHC_MOUSE,    0.039716,  0.022345,  0.057088, 1,   1.000000,    0.005458, 7998660.000000
IF4A1_MOUSE,    0.078050,  0.037128,  0.118973, 1,   1.000000,    0.012859, 9581232.000000
IF4G1_MOUSE,    0.055250,  0.020675,  0.089824, 1,   1.000000,    0.010864, 11667277.000000
IQGA1_MOUSE,    0.136190,  0.026811,  0.245570, 1,   1.000000,    0.034369, 44227932.000000
IQGA2_MOUSE,    0.120192,  0.091310,  0.149074, 10,  23.000000,    0.014441, 1137090944.000000
ITA5_MOUSE,    0.121174,  0.114182,  0.128166, 3,   3.000000,    0.003496, 148743024.000000
ITA9_MOUSE,    0.133693,  0.087521,  0.179864, 2,   2.000000,    0.023086, 32513420.000000
ITB1_MOUSE,    5.347072,  4.089975,  6.604169, 1,   1.000000,  2412525.750000, 2567852.750000
ITSN1_MOUSE,    0.220370,  0.180342,  0.260399, 2,   6.000000,    0.020014, 89671536.000000
K1C14_MOUSE,    0.363077,  0.348945,  0.377209, 2,   5.000000,    0.007066, 1440928896.000000
K1C42_MOUSE,    5.342666,  5.300786,  5.384545, 2,   2.000000,    0.020940, 114673656.000000
K22E_MOUSE,    0.000001,  0.000000,  0.008351, 4,   7.000000,    0.004175, 1374886016.000000
K22O_MOUSE,    0.000001,  0.000000,  0.008333, 2,   2.000000,    0.004166, 1345686144.000000
K2C1B_MOUSE,    0.000002,  0.000000,  0.005012, 3,   3.000000,    0.002505, 2128767488.000000
K2C1_MOUSE,    0.000007,  0.000000,  0.528940, 1,   1.000000,    0.004401, 259352592.000000
K2C5_MOUSE,    0.000003,  0.000000,  0.004007, 3,   7.000000,    0.002002, 1502909824.000000
K2C79_MOUSE,    0.013647,  0.000457,  0.026838, 1,   1.000000,    0.005131, 196862208.000000
KMO_MOUSE,    0.066652,  0.017601,  0.115703, 1,   1.000000,    0.015413, 7741134.500000
KPB1_MOUSE,    0.090706,  0.047938,  0.133474, 1,   1.000000,    0.013439, 9892196.000000
KPB2_MOUSE,    0.057550,  0.011464,  0.103636, 3,   3.000000,    0.023043, 55962324.000000
KTN1_MOUSE,    0.300445,  0.216881,  0.384010, 4,   6.000000,    0.041782, 145091344.000000
LACTB_MOUSE,    0.047454,  0.032525,  0.062382, 2,   4.000000,    0.007464, 85583648.000000
LAMP2_MOUSE,    0.333582,  0.000000,  0.701445, 1,   1.000000,    0.242489, 11951697.000000
LARP1_MOUSE,    0.102933,  0.048824,  0.157042, 3,   3.000000,    0.027054, 216826432.000000
LCAP_MOUSE,    0.075050,  0.002152,  0.147949, 3,   3.000000,    0.036449, 59062104.000000
LDHA_MOUSE,    0.162871,  0.103175,  0.222566, 2,   2.000000,    0.029848, 36012516.000000
LMNA_MOUSE,    0.068832,  0.054896,  0.082768, 2,   2.000000,    0.006968, 19898848.000000
LPPRC_MOUSE,    0.205917,  0.146907,  0.264926, 33,  49.000000,    0.029505, 12455409664.000000
M2GD_MOUSE,    0.051229,  0.035133,  0.067325, 5,   9.000000,    0.008048, 250185040.000000
M3K5_MOUSE,    0.046663,  0.000000,  1.131102, 1,   1.000000,    0.043579, 5608537.500000
MA2A1_MOUSE,    0.372714,  0.222882,  0.522546, 2,   2.000000,    0.074916, 51685088.000000
MAAI_MOUSE,    0.118434,  0.080859,  0.156009, 1,   1.000000,    0.011807, 7558432.500000
MBB1A_MOUSE,    0.233270,  0.155671,  0.310870, 14,  22.000000,    0.038800, 1907984256.000000
MCCB_MOUSE,    0.282162,  0.000000,  0.648714, 1,   1.000000,    0.138751, 20572138.000000
MDHM_MOUSE,    0.011239,  0.002310,  0.020167, 1,   1.000000,    0.002806, 6189164.000000
MDR3_MOUSE,    0.363788,  0.249002,  0.478575, 8,  12.000000,    0.057393, 903541568.000000
METH_MOUSE,    0.214918,  0.027391,  0.402444, 1,   1.000000,    0.058925, 5176954.000000
METK1_MOUSE,    0.033592,  0.000000,  0.635087, 1,   1.000000,    0.013333, 36951716.000000
MGST1_MOUSE,    0.069030,  0.029920,  0.108140, 3,   3.000000,    0.019555, 188661920.000000
MMSA_MOUSE,    5.322287,  5.263803,  5.380770, 2,   2.000000,    0.029242, 93830416.000000
MOT1_MOUSE,    0.285545,  0.025293,  0.545797, 1,   1.000000,    0.138796, 83090512.000000
MPC2_MOUSE,    0.129361,  0.100842,  0.157880, 2,   2.000000,    0.014259, 54317284.000000
MPCP_MOUSE,    0.132281,  0.100746,  0.163816, 2,   2.000000,    0.015767, 120087544.000000
MRP2_MOUSE,    0.365127,  0.261978,  0.468276, 5,   9.000000,    0.051574, 236271168.000000
MRP3_MOUSE,    0.426881,  0.302596,  0.551165, 9,  10.000000,    0.062142, 334902944.000000
MRP6_MOUSE,    0.208781,  0.170344,  0.247218, 14,  17.000000,    0.019219, 1204088704.000000
MTP_MOUSE,    0.095607,  0.068220,  0.122994, 4,  10.000000,    0.013694, 302533024.000000
MUG1_MOUSE,    0.568395,  0.281479,  0.855311, 7,  16.000000,    0.143458, 1218398080.000000
MUG2_MOUSE,    1.741298,  1.459650,  2.022946, 1,   1.000000,    2.646825, 13314184.000000
MYLK_MOUSE,    0.071751,  0.004426,  0.139075, 1,   1.000000,    0.026190, 10364766.000000
MYO6_MOUSE,    0.149331,  0.092162,  0.206501, 3,   7.000000,    0.028585, 277595712.000000
NAL4C_MOUSE,    2.410111,  1.900721,  2.919502, 1,   1.000000,  224.909622, 15311723.000000
NCPR_MOUSE,    0.048956,  0.000000,  0.735916, 1,   1.000000,    0.025471, 25548462.000000
NDUS1_MOUSE,    0.048807,  0.021074,  0.076539, 1,   1.000000,    0.008714, 4900892.500000
NEMF_MOUSE,    0.335118,  0.193061,  0.477174, 4,   5.000000,    0.071028, 1189192064.000000
NIBA1_MOUSE,    0.107879,  0.066455,  0.149303, 3,   3.000000,    0.020712, 28222132.000000
NOMO1_MOUSE,    0.075759,  0.057333,  0.094185, 18,  25.000000,    0.009213, 3092616704.000000
NPC1_MOUSE,    0.047108,  0.017513,  0.076704, 2,   2.000000,    0.014798, 90655280.000000
NRDC_MOUSE,    0.305277,  0.190528,  0.420026, 10,  21.000000,    0.057374, 1038594048.000000
NTCP_MOUSE,    0.517768,  0.322932,  0.712603, 1,   1.000000,    0.061222, 179347456.000000
NU155_MOUSE,    0.091517,  0.070170,  0.112865, 4,   9.000000,    0.010674, 232951856.000000
NU160_MOUSE,    0.032585,  0.019818,  0.045353, 2,   5.000000,    0.006384, 61986292.000000
NU1M_MOUSE,    0.057276,  0.034870,  0.079682, 3,   3.000000,    0.011203, 122650528.000000
NU4M_MOUSE,    0.010260,  0.000000,  0.970201, 1,   1.000000,    0.006972, 31246700.000000
NUCL_MOUSE,    0.162527,  0.078467,  0.246587, 2,   2.000000,    0.042030, 13790071.000000
ODO1_MOUSE,    0.302697,  0.175616,  0.429779, 1,   1.000000,    0.039932, 9513071.000000
ODP2_MOUSE,    0.082494,  0.038948,  0.126040, 2,   2.000000,    0.021773, 24560628.000000
OPLA_MOUSE,    0.125223,  0.090203,  0.160242, 13,  33.000000,    0.017510, 7925690880.000000
OTC_MOUSE,    0.053417,  0.017565,  0.089269, 1,   1.000000,    0.012913, 11265285.000000
PDIA1_MOUSE,    0.126041,  0.081031,  0.171050, 4,  11.000000,    0.022505, 348108704.000000
PDIA3_MOUSE,    0.086988,  0.065620,  0.108356, 2,   5.000000,    0.010684, 271268640.000000
PDS5A_MOUSE,    0.061554,  0.000000,  0.410564, 1,   1.000000,    0.043780, 12617631.000000
PDS5B_MOUSE,    0.378704,  0.278105,  0.479304, 2,   2.000000,    0.050300, 29390798.000000
PDZD8_MOUSE,    0.114545,  0.041454,  0.187635, 1,   1.000000,    0.022967, 3431130.000000
PEX1_MOUSE,    0.210789,  0.154674,  0.266903, 8,  17.000000,    0.028057, 843323968.000000
PH4H_MOUSE,    0.103784,  0.030375,  0.177193, 1,   1.000000,    0.026440, 3677890.500000
PI3R4_MOUSE,    0.115504,  0.031249,  0.199759, 4,   5.000000,    0.042128, 65777704.000000
PLCB1_MOUSE,    0.050660,  0.031583,  0.069737, 2,   2.000000,    0.009538, 28417788.000000
PLCB3_MOUSE,    0.257422,  0.161716,  0.353128, 3,   5.000000,    0.047853, 59802924.000000
PLCG1_MOUSE,    0.221591,  0.061766,  0.381417, 1,   8.000000,    0.150939, 137903472.000000
PLPL6_MOUSE,    0.094297,  0.028763,  0.159831, 2,   2.000000,    0.032767, 4655571.000000
PLXB2_MOUSE,    0.122017,  0.048607,  0.195427, 4,   7.000000,    0.036705, 425026848.000000
PRDX1_MOUSE,    0.122629,  0.084792,  0.160467, 3,   4.000000,    0.018919, 296208768.000000
PTPRD_MOUSE,    0.191273,  0.092512,  0.290034, 3,   7.000000,    0.049380, 386845728.000000
PTPRF_MOUSE,    0.072625,  0.000000,  0.150733, 3,   3.000000,    0.039054, 53555144.000000
PUR4_MOUSE,    0.074229,  0.063819,  0.084640, 12,  15.000000,    0.005205, 935860864.000000
PYC_MOUSE,    0.100611,  0.086028,  0.115193, 38,  52.000000,    0.007291, 12773774336.000000
PYGL_MOUSE,    0.077187,  0.050601,  0.103773, 5,   9.000000,    0.013293, 277079136.000000
PYR1_MOUSE,    0.077838,  0.067549,  0.088127, 1,   1.000000,    0.002391, 37883628.000000
PZP_MOUSE,    0.235773,  0.173504,  0.298043, 22,  39.000000,    0.031135, 10275674112.000000
RAD50_MOUSE,    0.035204,  0.000000,  1.664224, 1,   1.000000,    0.010780, 3342148.000000
RBGPR_MOUSE,    0.086901,  0.054463,  0.119340, 4,   7.000000,    0.016219, 136371952.000000
RGN_MOUSE,    0.121198,  0.094031,  0.148364, 2,   2.000000,    0.013583, 50342996.000000
RL13A_MOUSE,    0.014975,  0.000000,  0.935702, 1,   1.000000,    0.013536, 6326639.000000
RL18_MOUSE,    0.528393,  0.000000, 27.922277, 1,   1.000000,    0.677307, 17419490.000000
RL3_MOUSE,    0.045974,  0.031744,  0.060203, 4,   6.000000,    0.007115, 647546048.000000
RL4_MOUSE,    0.068720,  0.021419,  0.116021, 1,   1.000000,    0.018401, 38862284.000000
RN123_MOUSE,    0.186367,  0.109497,  0.263237, 2,   5.000000,    0.038435, 52802572.000000
ROCK1_MOUSE,    0.225640,  0.150727,  0.300553, 8,  13.000000,    0.037456, 502172512.000000
ROCK2_MOUSE,    0.133015,  0.094106,  0.171925, 2,   2.000000,    0.019455, 44551024.000000
RPN1_MOUSE,    0.074746,  0.062776,  0.086715, 5,  10.000000,    0.005985, 311194848.000000
RPN2_MOUSE,    0.078336,  0.064939,  0.091733, 8,   9.000000,    0.006698, 593246400.000000
RRBP1_MOUSE,    0.254025,  0.179390,  0.328659, 27,  34.000000,    0.037317, 7626057728.000000
RS27A_MOUSE,    0.556162,  0.229848,  0.882476, 4,   5.000000,    0.163157, 5395395072.000000
RS2_MOUSE,    0.034042,  0.026589,  0.041494, 2,   2.000000,    0.003726, 13848182.000000
RS3_MOUSE,    0.055242,  0.000000,  0.653506, 1,   1.000000,    0.029118, 20780594.000000
