Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
ACTBL_MOUSE,    0.155632,  0.116419,  0.194845, 11,  16.000000,    0.019606, 277580185600.000000
ACTB_MOUSE,    0.151191,  0.129128,  0.173255, 35,  41.000000,    0.011032, 1329658986496.000000
ACTC_MOUSE,    0.148963,  0.119450,  0.178476, 2,   2.000000,    0.014757, 4374597120.000000
ACTN1_MOUSE,    0.152219,  0.118291,  0.186147, 22,  35.000000,    0.016964, 98408628224.000000
ACTN4_MOUSE,    0.180987,  0.147943,  0.214030, 17,  24.000000,    0.016522, 47410073600.000000
ACTS_MOUSE,    0.163894,  0.154461,  0.173326, 2,   2.000000,    0.004716, 11304484864.000000
ACTZ_MOUSE,    0.236916,  0.111070,  0.362761, 3,   3.000000,    0.062923, 1381281920.000000
ACY1_MOUSE,    0.236258,  0.172241,  0.300275, 4,   6.000000,    0.032008, 4317971968.000000
ACY3_MOUSE,    0.132632,  0.099873,  0.165390, 4,  10.000000,    0.016379, 29407934464.000000
ADH1_MOUSE,    0.148925,  0.126182,  0.171668, 45,  56.000000,    0.011371, 1748983742464.000000
ADH4_MOUSE,    0.464000,  0.409348,  0.518653, 4,   7.000000,    0.027326, 13297325056.000000
ADHX_MOUSE,    0.157994,  0.136505,  0.179483, 19,  22.000000,    0.010744, 229014716416.000000
ADK_MOUSE,    0.250146,  0.218476,  0.281817, 18,  26.000000,    0.015835, 261807112192.000000
ADPGK_MOUSE,    0.027561,  0.000000,  2.282965, 1,   1.000000,    0.014665, 174533728.000000
ADRM1_MOUSE,    0.308446,  0.000000,  2.443610, 1,   1.000000,    0.101715, 39386456.000000
ADRO_MOUSE,    0.591892,  0.571009,  0.612775, 4,   4.000000,    0.010441, 3130290432.000000
ADT1_MOUSE,    0.119968,  0.098091,  0.141845, 13,  16.000000,    0.010939, 171104567296.000000
ADT2_MOUSE,    0.111500,  0.089170,  0.133830, 14,  20.000000,    0.011165, 182311059456.000000
ADX_MOUSE,    0.141431,  0.119416,  0.163446, 3,   4.000000,    0.011008, 8223591936.000000
AEDO_MOUSE,    0.000001,  0.000000, 10.939116, 1,   1.000000,    0.008541, 4990583.000000
AFAD_MOUSE,    0.311894,  0.000000,  0.638138, 2,   2.000000,    0.163122, 373163008.000000
AFG1L_MOUSE,    0.000002,  0.000000,  6.858851, 1,   1.000000,    0.115678, 32446312.000000
AFG32_MOUSE,    0.061585,  0.035297,  0.087874, 3,   7.000000,    0.013144, 12771502080.000000
AGFG2_MOUSE,    0.044247,  0.000000,  1.375486, 1,   1.000000,    0.020609, 131123440.000000
AGM1_MOUSE,    0.115570,  0.087001,  0.144139, 3,   6.000000,    0.014284, 11544315904.000000
AGT2_MOUSE,    0.096529,  0.079079,  0.113979, 21,  28.000000,    0.008725, 75416584192.000000
AIFM1_MOUSE,    0.125029,  0.105597,  0.144462, 15,  23.000000,    0.009716, 66633965568.000000
AIMP1_MOUSE,    0.037397,  0.008165,  0.066629, 3,   3.000000,    0.014616, 3132061440.000000
AIMP2_MOUSE,    0.113824,  0.042791,  0.184857, 3,   3.000000,    0.035517, 204571984.000000
AK1A1_MOUSE,    0.168564,  0.143394,  0.193733, 15,  18.000000,    0.012585, 122508550144.000000
AK1CD_MOUSE,    0.157171,  0.131778,  0.182563, 20,  23.000000,    0.012696, 107627298816.000000
AK1D1_MOUSE,    0.162973,  0.129288,  0.196659, 12,  18.000000,    0.016843, 54188494848.000000
AKC1H_MOUSE,    0.149619,  0.113195,  0.186042, 5,   5.000000,    0.018212, 128873709568.000000
AKCL2_MOUSE,    0.154525,  0.077875,  0.231176, 3,   3.000000,    0.038325, 37821321216.000000
AL1A1_MOUSE,    0.208443,  0.173680,  0.243206, 45,  55.000000,    0.017381, 1201637556224.000000
AL1A7_MOUSE,    0.206285,  0.165967,  0.246603, 15,  19.000000,    0.020159, 115684450304.000000
AL1B1_MOUSE,    0.103553,  0.085477,  0.121630, 11,  18.000000,    0.009038, 67416133632.000000
AL1L1_MOUSE,    0.233042,  0.197666,  0.268418, 65,  79.000000,    0.017688, 1011091898368.000000
AL3A2_MOUSE,    0.201099,  0.167959,  0.234239, 27,  31.000000,    0.016570, 152559599616.000000
AL4A1_MOUSE,    0.130031,  0.110740,  0.149322, 26,  35.000000,    0.009646, 246968926208.000000
AL7A1_MOUSE,    0.137626,  0.117056,  0.158197, 23,  39.000000,    0.010285, 371607240704.000000
AL8A1_MOUSE,    0.201115,  0.166431,  0.235799, 25,  33.000000,    0.017342, 136339988480.000000
AL9A1_MOUSE,    0.151800,  0.129088,  0.174512, 22,  29.000000,    0.011356, 131658932224.000000
ALAT1_MOUSE,    0.328752,  0.266369,  0.391135, 13,  15.000000,    0.031191, 72351834112.000000
ALAT2_MOUSE,    0.433118,  0.282325,  0.583910, 3,   6.000000,    0.075396, 8646028288.000000
ALBU_MOUSE,    0.218983,  0.163215,  0.274752, 42,  53.000000,    0.027884, 1273105350656.000000
ALDH2_MOUSE,    0.310910,  0.257236,  0.364585, 37,  51.000000,    0.026837, 1524690452480.000000
ALDOA_MOUSE,    0.306594,  0.225455,  0.387732, 4,   9.000000,    0.040569, 192114294784.000000
ALDOB_MOUSE,    0.341490,  0.289186,  0.393795, 29,  39.000000,    0.026152, 1755788607488.000000
ALDR_MOUSE,    0.060037,  0.043241,  0.076834, 1,   4.000000,    0.007538, 1310684800.000000
ALKMO_MOUSE,    0.187682,  0.117157,  0.258206, 2,   2.000000,    0.035262, 1876815872.000000
AMACR_MOUSE,    0.228055,  0.185860,  0.270250, 5,  11.000000,    0.021097, 24001718272.000000
AMBP_MOUSE,    0.954938,  0.459769,  1.450106, 2,   2.000000,    0.247584, 223920928.000000
AMPB_MOUSE,    0.231372,  0.153735,  0.309009, 2,   4.000000,    0.038818, 3112705536.000000
AMPE_MOUSE,    0.667488,  0.361634,  0.973342, 4,   7.000000,    0.152927, 3356928512.000000
AMPL_MOUSE,    0.197642,  0.164581,  0.230702, 28,  33.000000,    0.016530, 235263901696.000000
AMPN_MOUSE,    0.578933,  0.416458,  0.741409, 4,  12.000000,    0.081238, 14669857792.000000
AN32A_MOUSE,    0.190148,  0.167881,  0.212414, 3,   4.000000,    0.011133, 14625935360.000000
AN32B_MOUSE,    0.385491,  0.287295,  0.483686, 2,   2.000000,    0.049098, 1954875136.000000
AN32E_MOUSE,    0.531300,  0.349395,  0.713204, 1,   1.000000,    0.076928, 146555168.000000
ANM5_MOUSE,    0.105424,  0.039879,  0.170970, 2,   2.000000,    0.032773, 117739752.000000
ANR28_MOUSE,    0.893544,  0.011907,  1.775180, 1,   1.000000,    0.277031, 43998872.000000
ANT3_MOUSE,    1.372652,  0.807824,  1.937480, 4,   4.000000,    0.282414, 1600311040.000000
ANX11_MOUSE,    0.039029,  0.019765,  0.058292, 1,   1.000000,    0.008354, 1416858368.000000
ANXA1_MOUSE,    0.086742,  0.000000,  4.591514, 1,   1.000000,    0.083676, 162632576.000000
ANXA2_MOUSE,    0.051052,  0.037487,  0.064617, 5,   9.000000,    0.006782, 7459652096.000000
ANXA3_MOUSE,    0.000001,  0.000000,  6.003377, 1,   1.000000,    0.014558, 7981045760.000000
ANXA4_MOUSE,    0.194634,  0.152910,  0.236358, 8,  13.000000,    0.020862, 34911248384.000000
ANXA5_MOUSE,    0.136102,  0.110338,  0.161865, 10,  14.000000,    0.012882, 149760491520.000000
ANXA6_MOUSE,    0.219562,  0.187057,  0.252067, 18,  24.000000,    0.016252, 73934102528.000000
ANXA7_MOUSE,    0.299675,  0.233370,  0.365981, 8,  10.000000,    0.033153, 15753035776.000000
AOFA_MOUSE,    0.145015,  0.112750,  0.177281, 4,   6.000000,    0.016133, 3128102656.000000
AOFB_MOUSE,    0.145034,  0.116941,  0.173127, 12,  17.000000,    0.014047, 64921608192.000000
AOXA_MOUSE,    0.381195,  0.220302,  0.542089, 4,   7.000000,    0.080447, 10481219584.000000
AOXC_MOUSE,    0.305161,  0.239678,  0.370645, 41,  52.000000,    0.032742, 168963883008.000000
AP1B1_MOUSE,    0.125537,  0.103605,  0.147469, 12,  18.000000,    0.010966, 65198178304.000000
AP1M1_MOUSE,    0.190180,  0.115714,  0.264645, 1,   1.000000,    0.026821, 214466720.000000
AP2A1_MOUSE,    0.180003,  0.144199,  0.215807, 5,   7.000000,    0.017902, 9212278784.000000
AP2A2_MOUSE,    0.137749,  0.108856,  0.166641, 7,  16.000000,    0.014446, 17034704896.000000
AP2B1_MOUSE,    0.168326,  0.120636,  0.216016, 4,   9.000000,    0.023845, 8232961024.000000
AP2M1_MOUSE,    0.165496,  0.100792,  0.230200, 2,   2.000000,    0.032352, 2204552960.000000
AP2S1_MOUSE,    2.009278,  1.926600,  2.091956, 2,   2.000000,    0.041339, 1443920896.000000
AP4A_MOUSE,    0.466792,  0.419897,  0.513687, 2,   2.000000,    0.023447, 676471040.000000
APEH_MOUSE,    0.170434,  0.128783,  0.212085, 6,  11.000000,    0.020826, 10031893504.000000
APEX1_MOUSE,    0.301470,  0.212622,  0.390319, 3,   3.000000,    0.044424, 1972279296.000000
API5_MOUSE,    0.277389,  0.164363,  0.390415, 1,   1.000000,    0.043969, 77938080.000000
APMAP_MOUSE,    0.334044,  0.111413,  0.556676, 2,   4.000000,    0.111316, 1837024640.000000
APOA1_MOUSE,    0.567937,  0.285414,  0.850459, 5,  10.000000,    0.141261, 57886564352.000000
APOA2_MOUSE,    1.034679,  1.034679,  1.034679, 3,   3.000000,    0.000000, 610827776.000000
APOA4_MOUSE,    0.195216,  0.140125,  0.250307, 1,   1.000000,    0.019842, 2424163328.000000
APOA5_MOUSE,    0.215836,  0.000000,  3.518500, 1,   1.000000,    0.261350, 288990688.000000
APOB_MOUSE,    1.673215,  1.633262,  1.713167, 9,  19.000000,    0.019976, 122752581632.000000
APOE_MOUSE,    3.846938,  0.017848,  7.676027, 4,   5.000000,    1.914545, 9540449280.000000
APOH_MOUSE,    0.467064,  0.270267,  0.663862, 3,   3.000000,    0.098398, 726961152.000000
APT_MOUSE,    0.076595,  0.038777,  0.114413, 3,   3.000000,    0.018909, 1250449920.000000
AQP1_MOUSE,    0.176254,  0.133854,  0.218654, 2,   2.000000,    0.021200, 608059392.000000
ARC1A_MOUSE,    0.144523,  0.114514,  0.174533, 2,   4.000000,    0.015005, 2838697984.000000
ARC1B_MOUSE,    0.157805,  0.122220,  0.193390, 2,   2.000000,    0.017792, 2357366784.000000
ARCH_MOUSE,    0.443288,  0.384460,  0.502116, 2,   2.000000,    0.029414, 528250080.000000
ARF1_MOUSE,    0.300468,  0.239256,  0.361680, 8,  12.000000,    0.030606, 37135335424.000000
ARF4_MOUSE,    0.506691,  0.414551,  0.598832, 4,   4.000000,    0.046070, 4661220864.000000
ARF6_MOUSE,    0.072969,  0.054738,  0.091200, 4,   9.000000,    0.009115, 7364994560.000000
ARFG2_MOUSE,    0.087895,  0.047209,  0.128582, 2,   2.000000,    0.020343, 1005011456.000000
ARGI1_MOUSE,    0.165143,  0.142075,  0.188211, 33,  40.000000,    0.011534, 1152546111488.000000
ARK72_MOUSE,    0.165675,  0.137325,  0.194026, 13,  18.000000,    0.014175, 65625481216.000000
ARL1_MOUSE,    0.491959,  0.326920,  0.656999, 2,   2.000000,    0.082520, 745916224.000000
ARLY_MOUSE,    0.202346,  0.170077,  0.234615, 28,  34.000000,    0.016135, 344711528448.000000
ARP2_MOUSE,    0.165978,  0.137199,  0.194757, 5,   9.000000,    0.014389, 15583817728.000000
ARP3_MOUSE,    0.108769,  0.080501,  0.137036, 8,  14.000000,    0.014134, 28378507264.000000
ARP5L_MOUSE,    0.146724,  0.091348,  0.202101, 1,   1.000000,    0.019945, 732676032.000000
ARPC2_MOUSE,    0.097013,  0.072039,  0.121986, 4,   5.000000,    0.012487, 5688555008.000000
ARPC3_MOUSE,    0.160173,  0.121775,  0.198570, 4,   7.000000,    0.019199, 5081088512.000000
ARPC4_MOUSE,    0.094302,  0.069547,  0.119058, 4,   5.000000,    0.012378, 6351135744.000000
ARPC5_MOUSE,    0.161731,  0.079939,  0.243524, 3,   3.000000,    0.040896, 3877942784.000000
ARSB_MOUSE,    0.552642,  0.293273,  0.812011, 2,   2.000000,    0.129684, 745200512.000000
ARY2_MOUSE,    0.115094,  0.072236,  0.157952, 3,   3.000000,    0.021429, 663817344.000000
AS3MT_MOUSE,    0.455732,  0.292376,  0.619087, 4,   6.000000,    0.081678, 3482949120.000000
ASAH1_MOUSE,    0.287586,  0.259738,  0.315435, 4,   5.000000,    0.013924, 8348695040.000000
ASGL1_MOUSE,    0.359116,  0.316319,  0.401912, 2,   2.000000,    0.021398, 193612320.000000
ASGR1_MOUSE,    0.651426,  0.478061,  0.824792, 4,   7.000000,    0.086683, 17029515264.000000
ASPD_MOUSE,    0.156951,  0.125764,  0.188137, 6,   9.000000,    0.015593, 21632473088.000000
ASPG_MOUSE,    0.004645,  0.000000,  5.304092, 1,   1.000000,    0.036215, 5900681216.000000
ASPH_MOUSE,    0.112190,  0.075604,  0.148775, 2,   2.000000,    0.018293, 526530048.000000
ASSY_MOUSE,    0.184633,  0.154354,  0.214912, 54,  70.000000,    0.015139, 2960580411392.000000
AT11C_MOUSE,    0.104221,  0.073703,  0.134740, 5,  15.000000,    0.015259, 21354983424.000000
AT131_MOUSE,    0.062303,  0.017064,  0.107542, 1,   1.000000,    0.014215, 1103488000.000000
AT1A1_MOUSE,    0.135381,  0.110785,  0.159978, 24,  30.000000,    0.012298, 58861649920.000000
AT1B1_MOUSE,    0.204232,  0.162739,  0.245726, 4,   4.000000,    0.020747, 9493041152.000000
AT1B3_MOUSE,    0.100250,  0.043483,  0.157017, 3,   3.000000,    0.028384, 2144539264.000000
AT2A2_MOUSE,    0.189021,  0.139133,  0.238910, 8,  16.000000,    0.024944, 27213142016.000000
AT2L1_MOUSE,    0.850680,  0.492054,  1.209306, 2,   7.000000,    0.179313, 5501511680.000000
AT5F1_MOUSE,    0.095894,  0.081824,  0.109965, 9,  12.000000,    0.007035, 116338655232.000000
ATAD3_MOUSE,    0.133804,  0.105085,  0.162523, 4,  10.000000,    0.014359, 17104623616.000000
ATG3_MOUSE,    0.394974,  0.096074,  0.693875, 1,   1.000000,    0.093922, 529519040.000000
ATG7_MOUSE,    0.417546,  0.248452,  0.586641, 2,   2.000000,    0.084547, 976580224.000000
ATLA2_MOUSE,    0.013633,  0.001230,  0.026036, 3,   3.000000,    0.006201, 4967772160.000000
ATLA3_MOUSE,    0.269640,  0.218581,  0.320700, 7,  10.000000,    0.025530, 5612288512.000000
ATOX1_MOUSE,    0.234501,  0.158434,  0.310567, 3,   3.000000,    0.038033, 8532810752.000000
ATP5E_MOUSE,    0.097841,  0.076251,  0.119430, 1,   1.000000,    0.009690, 15265283072.000000
ATP5H_MOUSE,    0.096544,  0.084692,  0.108396, 12,  17.000000,    0.005926, 164281384960.000000
ATP5I_MOUSE,    0.131170,  0.114727,  0.147613, 2,   2.000000,    0.008222, 38013378560.000000
ATP5J_MOUSE,    0.104526,  0.093860,  0.115192, 4,   9.000000,    0.005333, 33965488128.000000
ATP5L_MOUSE,    0.099952,  0.081845,  0.118060, 4,   6.000000,    0.009054, 31584561152.000000
ATP6_MOUSE,    0.105455,  0.073698,  0.137213, 4,   5.000000,    0.015879, 3165937664.000000
ATP8_MOUSE,    0.111404,  0.073888,  0.148920, 1,   1.000000,    0.015332, 955597120.000000
ATPA_MOUSE,    0.114502,  0.099477,  0.129528, 46,  55.000000,    0.007513, 1334934896640.000000
ATPB_MOUSE,    0.102838,  0.090413,  0.115263, 53,  64.000000,    0.006212, 1945754402816.000000
ATPD_MOUSE,    0.100512,  0.090605,  0.110420, 6,  10.000000,    0.004954, 71341449216.000000
ATPG_MOUSE,    0.077880,  0.066859,  0.088900, 9,  13.000000,    0.005510, 131000393728.000000
ATPK_MOUSE,    0.113920,  0.090363,  0.137477, 3,   3.000000,    0.011778, 43849064448.000000
ATPMK_MOUSE,    0.158578,  0.139979,  0.177178, 3,   3.000000,    0.009300, 43691200512.000000
ATPO_MOUSE,    0.102580,  0.088174,  0.116987, 7,  14.000000,    0.007203, 161655799808.000000
ATX10_MOUSE,    0.425206,  0.000000,  1.595958, 1,   1.000000,    0.244590, 104219216.000000
ATX2_MOUSE,    0.025252,  0.001833,  0.048672, 2,   2.000000,    0.011710, 321343072.000000
AUHM_MOUSE,    0.182935,  0.134243,  0.231628, 2,   5.000000,    0.024346, 1834642432.000000
B2L13_MOUSE,    0.099943,  0.071390,  0.128496, 3,   3.000000,    0.014276, 2871358720.000000
B2MG_MOUSE,    1.154428,  0.408462,  1.900394, 3,   3.000000,    0.372983, 3150670336.000000
B3AT_MOUSE,    0.003302,  0.000000,  0.029810, 3,   3.000000,    0.013254, 1780892672.000000
BAAT_MOUSE,    0.352020,  0.279287,  0.424753, 7,  10.000000,    0.036366, 34387120128.000000
BABA2_MOUSE,    0.101160,  0.000000,  1.513418, 1,   1.000000,    0.054142, 209404272.000000
BAG3_MOUSE,    8.134111,  7.988226,  8.279997, 2,   2.000000,    0.072943, 7145293824.000000
BAP31_MOUSE,    0.245901,  0.200584,  0.291217, 4,  10.000000,    0.022658, 7611173888.000000
BASI_MOUSE,    0.222474,  0.171153,  0.273796, 4,   7.000000,    0.025661, 19282632704.000000
BDH_MOUSE,    0.127186,  0.113300,  0.141073, 11,  17.000000,    0.006943, 163405004800.000000
BET1_MOUSE,    0.164010,  0.000000,  2.592879, 1,   1.000000,    0.071664, 238081328.000000
BGAL_MOUSE,   68.783379, 68.783379, 68.783379, 2,   2.000000,    0.000000, 1440975360.000000
BGLR_MOUSE,    0.102790,  0.080406,  0.125174, 4,   9.000000,    0.011192, 8983805952.000000
BHMT1_MOUSE,    0.190366,  0.159022,  0.221710, 39,  48.000000,    0.015672, 1292634947584.000000
BIP_MOUSE,    0.273363,  0.228104,  0.318621, 23,  36.000000,    0.022629, 512026705920.000000
BLMH_MOUSE,    0.197370,  0.170037,  0.224703, 2,   8.000000,    0.013666, 3640882176.000000
BLVRB_MOUSE,    0.165085,  0.139536,  0.190634, 11,  16.000000,    0.012775, 119087079424.000000
BODG_MOUSE,    0.456148,  0.382672,  0.529625, 6,  11.000000,    0.036738, 17429518336.000000
BOLA1_MOUSE,   13.549507, 13.017980, 14.081035, 2,   2.000000,    0.265764, 769160512.000000
BPHL_MOUSE,    0.143640,  0.120623,  0.166656, 11,  16.000000,    0.011508, 105674039296.000000
BPNT1_MOUSE,    0.174963,  0.141496,  0.208430, 8,  13.000000,    0.016734, 22017601536.000000
BT3L4_MOUSE,    0.120100,  0.082128,  0.158071, 3,   3.000000,    0.018986, 1812546304.000000
BTD_MOUSE,    0.554579,  0.425223,  0.683935, 2,   2.000000,    0.064678, 2019427456.000000
BTF3_MOUSE,    0.641426,  0.543692,  0.739160, 2,   2.000000,    0.048867, 1212540800.000000
BUB3_MOUSE,    0.132444,  0.036247,  0.228641, 2,   2.000000,    0.048099, 492583072.000000
BUP1_MOUSE,    0.520661,  0.322376,  0.718945, 4,   9.000000,    0.099142, 7160591360.000000
C19L1_MOUSE,    0.336171,  0.000000,  3.947722, 1,   1.000000,    0.288235, 23410600.000000
C1QBP_MOUSE,    0.109053,  0.095730,  0.122376, 5,   6.000000,    0.006662, 13839329280.000000
C1TC_MOUSE,    0.189721,  0.149144,  0.230297, 28,  42.000000,    0.020288, 142348025856.000000
C2CD2_MOUSE,    0.643054,  0.496247,  0.789861, 1,   1.000000,    0.065888, 431946912.000000
C560_MOUSE,    0.120540,  0.086708,  0.154372, 4,   7.000000,    0.016916, 23849451520.000000
CAB39_MOUSE,    0.396490,  0.128093,  0.664886, 1,   1.000000,    0.096669, 297974496.000000
CACP_MOUSE,    0.127921,  0.094223,  0.161618, 4,   6.000000,    0.016849, 17039329280.000000
CADH2_MOUSE,    0.323715,  0.001944,  0.645485, 2,   2.000000,    0.160885, 788260352.000000
